ID,Nom,Categorie,Unite de matrice,"energie, calories (kcal)","Lipides, totaux (g)","Acides gras, satures (g)","Acides gras, mono-insatures (g)","Acides gras, poly-insatures (g)",Cholesterol (mg),"Glucides, disponibles (g)",Sucres (g),Amidon (g),Fibres alimentaires (g),Proteines (g),Sel (NaCl) (g),Alcool (g),Eau (g),"Activite de vitamine A, RE (µg-RE)","Activite de vitamine A, RAE (µg-RE)",Retinol (µg),Activite de betacarotene (µg-BCE),Betacarotene (µg),Vitamine B1 (thiamine) (mg),Vitamine B2 (riboflavine) (mg),Vitamine B6 (pyridoxine) (mg),Vitamine B12 (cobalamine) (µg),Niacine (mg),Folate (µg),Acide pantothenique (mg),Vitamine C (acide ascorbique) (mg),Vitamine D (calciferol) (µg),Activite de vitamine E (mg-ATE),Potassium (K) (mg),Sodium (Na) (mg),Chlore (Cl) (mg),Calcium (Ca) (mg),Magnesium (Mg) (mg),Phosphore (P) (mg),Fer (Fe) (mg),Iode (I) (µg),Zinc (Zn)  (mg),Selenium (Se) (µg)
1085,Saucisse a rotir de porc,Produits carnes et charcuterie/Produits de charcuterie crus,par 100 g de portion comestible,236,"18,8","7,4","8,8","1,8",67,"0,5","0,5",0,0,"16,2","1,9",0,"61,8",3,3,3,0,0,"0,48","0,12","0,21","0,4","4,7","2,5","0,7","2,2",tr.,tr.,260,760,1060,10,18,160,1,n.i.,"2,1","8,3"
14089,"Saucisse a rotir de porc, grillee (sans adjonction de sel ni de graisse)",Produits carnes et charcuterie/Produits de charcuterie crus,par 100 g de portion comestible,283,"22,3","8,7","10,4","2,1",83,"0,6","0,6",0,0,"19,8","2,1",0,"57,2",4,4,4,0,0,"0,45","0,14","0,2","0,45","4,99","2,7","0,74","2,2",0,0,280,860,1330,13,22,190,"1,3",n.i.,"2,6",10
781,Saucisse aux choux,Produits carnes et charcuterie/Produits de charcuterie crus,par 100 g de portion comestible,361,"32,3","11,7",15,"3,6",46,"1,5","1,5",0,"0,7","15,9","2,5",0,"49,7",6,5,5,8,8,"0,44","0,13","0,27","1,05","2,72","8,6","0,39","74,1",0,"0,82",170,990,1470,16,18,73,"0,7","1,4","1,1",n.i.
790,Saucisse bernoise (a la langue),Produits carnes et charcuterie/Produits de charcuterie bouillis,par 100 g de portion comestible,333,"29,4","10,8","13,7",3,63,0,0,0,0,"17,3","1,5",0,"53,3",7,7,6,3,3,"0,53","0,2","0,31","2,61","4,95","2,3","0,54",0,0,"0,52",220,610,880,"3,4",20,100,"1,3","0,7","2,4",n.i.
1273,Saucisse blanche,Produits carnes et charcuterie/Produits de charcuterie bouillis,par 100 g de portion comestible,220,"18,9","7,3","8,7","1,9",50,"0,6","0,6",0,0,"11,8",2,0,"68,6",12,10,8,22,22,"0,2","0,17","0,15","0,43","1,83","2,7","0,33",1,"0,1","0,28",140,810,1240,21,10,160,"0,7","2,3","1,3",n.i.
1083,Saucisse de Lyon,Produits carnes et charcuterie/Produits de charcuterie bouillis,par 100 g de portion comestible,244,"21,8","8,2","10,2","1,6",46,"0,5","0,5",0,0,"11,5","2,1",0,"62,9",0,0,0,n.i.,n.i.,"0,24","0,12","0,16","0,7","2,6",n.i.,"0,5","39,7",1,0,170,850,1160,"6,5",11,180,"0,5",n.i.,"1,3","6,1"
1086,Saucisse de porc,Produits carnes et charcuterie/Produits de charcuterie bouillis,par 100 g de portion comestible,268,"22,4",9,"10,4","1,9",61,"0,5","0,5",0,0,"16,2","2,3",0,"57,8",0,0,0,n.i.,n.i.,"0,29","0,13","0,16","0,8",4,n.i.,"0,6","34,6",0,0,260,930,1290,10,17,190,1,n.i.,"2,3","8,4"
1080,Saucisse de veau,Produits carnes et charcuterie/Produits de charcuterie bouillis,par 100 g de portion comestible,228,"19,2","7,9","9,7","1,9",53,"1,2","1,2",0,0,"12,5","1,9",0,"63,4",19,19,19,n.i.,n.i.,"0,16","0,11","0,13","0,6","2,54",n.i.,"0,3","5,7","0,8",tr.,150,760,1020,20,12,180,"0,5",n.i.,"1,5","5,1"
1082,Saucisse de Vienne,Produits carnes et charcuterie/Produits de charcuterie bouillis,par 100 g de portion comestible,242,"20,4","7,8","9,4","1,6",51,"0,6","0,6",0,0,"13,9","2,2",0,"61,9",1,1,1,3,3,"0,23","0,11","0,11","0,64","3,47","0,9","0,5","17,5",1,tr.,190,870,1180,"7,9",13,190,"0,8","0,4","1,8","7,3"
1589,"Saucisse de Vienne, cuite",Produits carnes et charcuterie/Produits de charcuterie bouillis,par 100 g de portion comestible,220,"18,4",7,"8,5","1,4",50,"0,6","0,6",0,0,13,"1,8",0,"68,1",1,1,1,2,2,"0,17","0,1","0,08","0,44","2,53","0,6","0,36","11,9","0,9",0,160,720,1150,"6,5",13,180,"0,7","0,4","1,7","7,1"
